"","logFC.genotypeD2","logFC.genotypeD6","logCPM","LR","PValue","FDR"
"oases6_CL13957Contig1_1",-0.752839259006733,2.66318010937849,2.72531649286519,16.8853798309471,0.000215469774569923,0.00598177368872278
"oases6_k43_Locus_6151_Transcript_3_1",5.26902000478575,9.5127843593759,1.53382987267852,16.8834305530766,0.000215679882174488,0.00598307739711422
"oases3_CL7171Contig1_1",-3.14729637387072,-0.817849042485415,7.52776454089476,16.8594515854281,0.000218281336517728,0.00604971277061951
"oases2_k37_Locus_2351_Transcript_1_1",3.37512897648434,0.416411058952282,2.25593535544579,16.8582556319273,0.000218411902715901,0.00604971277061951
"oases2_k31_Locus_46744_Transcript_1_1",4.68735258546065,-3.31807189307621,3.96892894876042,16.8407463478739,0.000220332415171822,0.00609830238611035
"oases3_k25_Locus_2180_Transcript_1_1",-3.4018270565989,-1.90072706284597,4.61051315596363,16.8361962382197,0.000220834254135642,0.00610758265604554
"oases2_k25_Locus_6578_Transcript_3_1",0.229627533015128,-3.13088968688274,5.3661700152639,16.820842425562,0.000222536102124472,0.00615001241387396
"oases3_k25_Locus_2901_Transcript_2_2",2.08979733915292,-4.22447751657008,1.56314806620849,16.8074002427782,0.000224036825203976,0.0061868241646878
"oases3_k43_Locus_4481_Transcript_18_1",-4.3418209647225,-5.95407143591949,0.351685025792856,16.8019710899402,0.00022464581648939,0.00619897368556463
"oases3_k25_Locus_3813_Transcript_10_1",-6.38089801271235,-0.502212114349147,1.32367882843535,16.8001533288316,0.000224850085517608,0.00619994525277235
"oases6_k43_Locus_7857_Transcript_75_2",5.63406402672182,6.77040706025686,2.39160526694259,16.797578845417,0.000225139708292848,0.00620326710910865
"oases2_k25_Locus_434_Transcript_3_1",1.31966530992535,-3.84406760252298,2.64081003925929,16.7849112369175,0.000226570224656988,0.00623799538201631
"oases3_k31_Locus_9288_Transcript_2_1",-1.93997384473578,-4.42485070158178,2.25637533875161,16.7717911162875,0.000228061424830127,0.00627434105986141
"oases3_CL5726Contig1_1",-3.67493650340056,-3.01218882664397,3.03359742121634,16.7600925127614,0.000229399334027146,0.00630355684616265
"oases2_k43_Locus_9988_Transcript_2_1",3.73449891498846,0.857108193273588,2.97141999989823,16.759501447545,0.000229467139029453,0.00630355684616265
"oases2_CL3245Contig1_1",4.36771097548467,1.50499020728359,3.456582958832,16.7564852451467,0.000229813459774712,0.00630834506760331
"oases2_k31_Locus_13146_Transcript_1_1",-0.607610563154906,-5.77147609210639,3.60580864329482,16.7525940319142,0.000230261021610999,0.00631425254552889
"oases3_k43_Locus_944_Transcript_4_1",1.47755996414833,-2.55833613402038,3.41443134313796,16.7512536229241,0.000230415395307914,0.00631425254552889
"oases3_k43_Locus_17109_Transcript_16_1",-6.16262254959138,-3.4021763597743,0.646962429079295,16.7495325427721,0.000230613762328853,0.00631425254552889
"oases2_k25_Locus_16894_Transcript_4_1",4.19212242624296,-0.215244145529317,1.83374007394652,16.7486341349134,0.000230717378207638,0.00631425254552889
"oases3_k31_Locus_1452_Transcript_8_1",-2.35461135525696,-3.24277878473835,2.4067617705934,16.7351922801957,0.000232273235492282,0.00635209274064761
"oases6_k49_Locus_15236_Transcript_7_1",-0.755420421921304,4.06241362801134,1.18333403593667,16.7291897675442,0.000232971394162112,0.00636643810589204
"oases3_k43_Locus_32981_Transcript_9_1",3.45836839950442,-3.73209216124603,4.98149699979217,16.726945961976,0.000233232912089249,0.00636883885707299
