"","logFC.genotype2","logFC.genotype6","logCPM","LR","PValue","FDR"
"oases2_k43_Locus_6463_Transcript_1_1",2.64601099933697,-1.91337717037058,0.0784385119645157,11.0542901906359,0.0039773277876609,0.0230136544583288
"oases3_CL2921Contig1_1",-1.70279789142948,-2.80009688727091,3.10389957015543,11.0529352555861,0.00398002321100085,0.023025617797292
"oases2_k25_Locus_23894_Transcript_1_1",1.16997023532806,-2.60944004620456,2.12815129056381,11.051769192367,0.00398234436692746,0.0230354124555727
"oases6_k49_Locus_16729_Transcript_4_1",2.12318674118839,2.20092721602785,0.68843807138939,11.050648231987,0.0039845770176746,0.0230446921572592
"oases6_k49_Locus_15056_Transcript_3_1",-0.370329740443399,1.37043436087972,1.51805830624029,11.0498409350181,0.00398618571080054,0.0230503608596954
"oases6_k31_Locus_4144_Transcript_4_1",3.86178452343631,2.74126557864072,1.86114851121933,11.0447095196998,0.00399642622948047,0.0231054691656774
"oases2_k25_Locus_51361_Transcript_1_1",2.95479941090465,2.14211449696571,0.511529880862201,11.0444344684153,0.00399697587835895,0.0231054691656774
"oases6_CL434Contig1_1",-6.00438594780601,0.191713464497075,0.737383305715011,11.0434779279836,0.00399888797008678,0.0231128792004716
"oases3_k49_Locus_7612_Transcript_9_1",-0.942545555978318,-1.31191795660004,6.09753582442571,11.0425331896206,0.00400077736773562,0.0231201557527526
"oases2_k49_Locus_709_Transcript_1_1",1.65560825910244,-0.478981116959948,8.07654372911356,11.0407081732787,0.00400442977594658,0.0231376166965951
"oases6_k25_Locus_28103_Transcript_8_1",0.520391179400392,1.60954123411434,7.81542065414205,11.0393731285521,0.00400710371473193,0.0231494194282237
"oases2_k43_Locus_10558_Transcript_2_1",0.360436588301126,1.7348774761602,3.86626823435825,11.0352841473045,0.00401530458114601,0.0231931429995854
"oases3_k25_Locus_7459_Transcript_3_1",-2.49372958664965,-0.771733292733099,3.37913837323384,11.03298410827,0.00401992491601026,0.0232161742432825
"oases3_k49_Locus_1448_Transcript_7_1",-1.72810372206089,-1.38598443497238,4.14121015975363,11.0316640589459,0.00402257904139235,0.0232278446205293
"oases6_k37_Locus_341_Transcript_10_1",-4.53571413080245,1.45377355856993,1.36429247150108,11.0286496135354,0.00402864653524062,0.0232592182598991
"oases6_CL1149Contig2_1",-1.97314967039794,-0.211595090646728,4.4404680965709,11.0277615894659,0.00403043569996201,0.0232658851605079
"TRINITY_DN40606_c1_g4_i1",-3.17417190185867,-2.01053374683064,0.393609612399378,11.0253726059083,0.00403525289874998,0.0232870005314898
"oases6_k43_Locus_3669_Transcript_1_1",0.567203000590911,-1.36278649275834,5.87803647592208,11.0253177520951,0.00403536357477211,0.0232870005314898
"oases3_k37_Locus_19595_Transcript_3_1",0.818075994606351,-1.52169042725311,3.53885606360668,11.0235360217605,0.00403896014140843,0.0233040883048885
"oases3_k43_Locus_4833_Transcript_16_2",3.91993460604539,-1.45798098693592,0.325715361642288,11.0222179421827,0.0040416228541678,0.0233157833775202
"oases3_k25_Locus_46128_Transcript_1_1",-7.54624365666565,-3.11058758560809,0.0577952010482254,11.0173410984928,0.00405149006094173,0.0233690303562309
"oases3_k43_Locus_11868_Transcript_1_1",-1.5051863970336,1.30101574151039,2.50750488937637,11.0074418644395,0.00407159309524954,0.0234812916468134
"oases3_k37_Locus_12112_Transcript_7_1",-2.87551360557081,-1.36749021432648,1.02275263506248,11.0055560337452,0.00407543407344052,0.0234997474489441
"oases6_k31_Locus_31975_Transcript_1_1",-1.67891594429761,1.11409155599143,1.35585548605217,11.0051127510042,0.00407633745834391,0.0235012613755457
"oases3_k25_Locus_6215_Transcript_5_1",-2.38454989562312,-1.82155688640272,0.534303401980852,11.0038596514784,0.00407889228689191,0.0235122943786839
"oases3_k43_Locus_3386_Transcript_14_1",0.33835250786765,-1.87286059917379,2.39904971902324,11.0010967280184,0.00408453101443353,0.0235410978928683
"oases3_k25_Locus_15765_Transcript_6_1",-0.025995774736055,-4.01185678012897,1.83028577382528,10.9997401186849,0.00408730251073521,0.0235533526341589
"oases2_k49_Locus_32713_Transcript_1_1",1.5317341609522,-2.02814428913819,1.65938020864633,10.9994273274793,0.00408794179686477,0.0235533526341589
"oases2_k37_Locus_14830_Transcript_1_1",2.10920007210719,2.03967630615043,2.80733038594668,10.9969840475561,0.00409293884159775,0.0235784395441273
"oases2_k25_Locus_703_Transcript_1_1",-1.46836313100075,0.475281357809083,3.96923035192035,10.9965049663928,0.0040939193839836,0.0235803841006487
"oases6_k37_Locus_14717_Transcript_14_2",2.27065343488691,1.74266904104203,0.982980272232369,10.9960288219166,0.00409489414856152,0.0235822947723299
