"Gene" "Flower" "Leaf" "Stem"
"TRINITY_DN74570_c0_g1_i1" 0 0 0
"TRINITY_DN74570_c0_g2_i1" 0 0 0
"TRINITY_DN74570_c1_g1_i1" 0 0 0
"TRINITY_DN74570_c1_g1_i2" 0 0 0
"TRINITY_DN74570_c1_g2_i4" 0 0 0
"TRINITY_DN74570_c1_g2_i5" 0 0 0
"TRINITY_DN74570_c1_g1_i5" 0 0 0
"TRINITY_DN74570_c1_g1_i6" 0 0 0
"TRINITY_DN74527_c1_g2_i1" -1 0 0
"TRINITY_DN74527_c1_g2_i6" 0 0 0
"TRINITY_DN74527_c1_g2_i7" 0 0 0
"TRINITY_DN74527_c1_g2_i8" 0 0 0
"TRINITY_DN74527_c1_g1_i4" 0 0 0
"TRINITY_DN74527_c1_g3_i2" 0 0 0
"TRINITY_DN74511_c3_g1_i1" 0 0 0
"TRINITY_DN74511_c3_g2_i1" 0 0 0
"TRINITY_DN74511_c3_g4_i2" 0 0 0
"TRINITY_DN74511_c3_g2_i4" 0 0 0
"TRINITY_DN74511_c3_g4_i3" 0 0 0
"TRINITY_DN74511_c3_g2_i5" 0 0 0
"TRINITY_DN74511_c3_g1_i2" 0 0 0
"TRINITY_DN74511_c3_g1_i3" 0 0 0
"TRINITY_DN74511_c3_g1_i4" 0 0 0
"TRINITY_DN74511_c3_g1_i6" 0 0 0
"TRINITY_DN74511_c3_g2_i7" 0 0 0
"TRINITY_DN74596_c0_g1_i1" 0 0 0
"TRINITY_DN74596_c0_g1_i3" 0 0 0
"TRINITY_DN74596_c0_g1_i5" 0 0 0
"TRINITY_DN74596_c0_g1_i9" 0 0 0
"TRINITY_DN74596_c0_g1_i12" 0 0 0
"TRINITY_DN74596_c0_g1_i13" 0 0 0
"TRINITY_DN74596_c0_g1_i14" 0 0 0
"TRINITY_DN74596_c0_g1_i16" 0 0 0
"TRINITY_DN74596_c0_g1_i19" 0 0 0
"TRINITY_DN74567_c2_g1_i1" 0 0 0
"TRINITY_DN74567_c3_g1_i1" 0 0 0
"TRINITY_DN74567_c3_g3_i1" 1 1 0
"TRINITY_DN74567_c3_g1_i4" 0 1 0
"TRINITY_DN74567_c3_g1_i6" 0 0 0
"TRINITY_DN74567_c3_g1_i9" 0 0 0
"TRINITY_DN74567_c3_g1_i11" 0 0 0
"TRINITY_DN74567_c3_g1_i12" 1 1 0
"TRINITY_DN74567_c3_g1_i14" 1 0 0
"TRINITY_DN74567_c3_g1_i17" 1 1 0
"TRINITY_DN74567_c3_g1_i18" 0 0 0
"TRINITY_DN74551_c0_g2_i9" 0 0 0
"TRINITY_DN74551_c0_g2_i12" 0 0 0
"TRINITY_DN74520_c0_g1_i1" 0 -1 0
"TRINITY_DN74520_c0_g1_i2" 0 0 0
"TRINITY_DN74520_c0_g4_i1" 0 0 0
"TRINITY_DN74520_c0_g2_i3" 0 0 0
"TRINITY_DN74520_c0_g2_i5" 0 0 0
"TRINITY_DN74520_c0_g2_i6" 0 0 0
"TRINITY_DN74591_c0_g1_i1" 0 0 0
"TRINITY_DN74591_c0_g1_i3" 0 0 0
"TRINITY_DN74591_c0_g2_i2" 0 0 0
"TRINITY_DN74591_c1_g1_i1" 0 0 0
"TRINITY_DN74591_c1_g1_i2" 0 0 0
