"","DS6","DF6","DL6","DR3","DS3","DF3","DL3","DR2","DS2","DF2","DL2","DR6","NF3","NF6","NR3","NR6","BR3","BF3"
"oases2_CL10518Contig1_1",1012.03,332.952,144.766,215.124,1444.19,85.4702,211.805,329.266,375.128,1999.79,351.195,254.477,1000.49,762.998,831.945,858.258,253.39,494.297
"oases2_CL1051Contig1_1",10,17,6,27,39,2,11,16,45,63,23,10,81,3,81,1,50,37
"oases2_CL10520Contig1_1",6,8,1,5,36,4,1,1,0,158,0,3,30,15,8,0,2,8
"oases2_CL10528Contig1_1",78.9721,71.6674,34.6337,2.74997,8.85241,4,33.0574,142.134,87.3916,91.4184,30.3782,18.4287,66.6649,89.1195,34.8864,37.5978,16.56279,35.19978
"oases2_CL10529Contig1_1",460,61,28,33,357,4,43,28,84,105,80,24,1702,1153,1982,1661,765,1358
"oases2_CL10538Contig1_1",15,4,0,2,12,1,14,12,5,39,34,6,27,1,12,5,3,8
"oases2_CL10546Contig1_1",2,1,0,1,4,2,0,2,2,21,0,0,7.10466,22.7085,5.08825,20.6178,8.37646,6
"oases2_CL10547Contig1_1",18.2655,15.5598,4.9737,9.13746,23.484,8.7492,4,12.9376,17.4605,15.8737,0,1,271.278,195.346,150.538,106.867,79.0234,234.147
"oases2_CL10557Contig1_1",17.6627,9.7956,12,0,0,0,0,0,10.8077,5,0,1,149.49,317.837,35.6704,101.62,6.06686,80.715
"oases2_CL10559Contig1_1",59.1361,3.92085,11,7.76669,73.3384,0,3.17219,2.75055,12,22.7885,29,0,430.547,323.445,263.99,236.182,52.5846,225.017
"oases2_CL10566Contig1_1",34,117.301,6,1,1.13843,2,1,18,9,89,5,13.6324,57.9103,132.9,25.8663,64.9363,25.5549,62.4215
"oases2_CL1057Contig1_1",17.7164,7.41607,0,0,0,0,0,0,0,6.05094,0,1,0,73.2433,2.50649,48.6119,8.60045,9.694118
"oases2_CL10587Contig1_1",1,0,0,0,0,0,0,23,29,73,7,0,0,1,0,0,0,0
"oases2_CL10594Contig1_1",16,24,18,6,20,2,21,5,15,61,1,15,0,0,0,0,5,0
"oases2_CL10597Contig1_2",121.029,32.5862,5.91194,15.5994,160.978,5.99407,3.12918,19.2733,13.8856,53.72,38,9.29938,139.28,200.047,145.933,164.091,65.0318,187.6479
"oases2_CL105Contig2_1",54.0191,11.535,3,51.6041,124.894,0,0,34.6722,0,39.0458,46,10.9007,1,0,2,0,5.97439,0
"oases2_CL10620Contig1_1",16,59.3372,5.82781,0,6,12,7,0,3,54.8008,36,0,2783.67,1833.66,51.5167,65.2831,10.2926,1749.386
"oases2_CL1062Contig1_1",26,12,5,6,33,0,5,13,6,13,0,7,41,23,14,17,18,11
"oases2_CL10631Contig1_1",717,414,25,118,1638,180,80,274,41,1601,72,89,1213,753,2171,784,527,683
"oases2_CL10633Contig1_1",258.623,161.066,14.6681,23.2869,257.541,9,8.99344,18.4952,35.7734,76.6654,176.847,19.1323,1720.36,3200.26,1108.77,1712.63,427.298,1448.016
"oases2_CL1063Contig1_1",10,2,0,13,20,4,0,15,0,11,1,3,1,0,0,0,2,0
"oases2_CL10646Contig1_1",172,4,1,20,351,3,0,64,5,108,1,28,8,4,33,10,29,3.02402
"oases2_CL10666Contig1_1",24.0914,5.79045,0,5.53837,58.4979,0,3.25244,6.51953,11.3934,22.8869,42,3.13612,68.6887,37.5107,89.2679,57.1452,33.5855,78.9437
"oases2_CL1066Contig1_1",84.6564,18.8826,1.13745,5.47141,34.4706,4,3.2916,5.60594,12.3117,32.251,60,6.92753,220.395,446.018,175.517,507.685,75.1671,109.2611
"oases2_CL10672Contig1_1",41,19,15,32,53,1,53,26,36,148,25,23,8,0,6,2,68,10
"oases2_CL1068Contig1_1",2.34492,18,11,14,13,1,1,17.4978,0,15.8624,0,4,0,0,0,0,0,1
"oases2_CL10709Contig1_1",0,1.05246,0,0,1.03982,4,0,113.822,27.3778,223.734,48,3.10017,3.14783,3.49412,8.46125,11.9401,4.52883,12.44677
"oases2_CL10711Contig1_1",0,4.59116,0,2,59.2917,3,5,2,12,37,31,0,168.084,11.5742,128.426,19.2449,89.5395,211.648
"oases2_CL10714Contig1_1",17,3,0,1,0,0,0,6,9,14,1,1,6,80.6519,3,47,6.20462,10.11633
"oases2_CL10715Contig1_1",5,2,0,0,10,0,0,0,1,1,37,1,24.4455,7,16,20,9,21
"oases2_CL10719Contig1_1",21.7064,0,0,1,4.20989,0,1,0.011611,6.92168,13.2239,0,0,21.8634,14.2856,19.5609,28.924,5.49113,2.58579
"oases2_CL10721Contig1_1",222,806,38,35,403,179,31,50,8,1297,6,57,159,273,81,80,17,143
"oases2_CL10723Contig1_2",174,53,11,10,263,17,11,8,8,97,76,8,2882.69,3236.17,2362.64,2868,510,1963
"oases2_CL10746Contig1_1",1,26,2,2,1,9,0,1,1,54,0,0,1369.95,1204,8,33,4,1213.951
"oases2_CL10750Contig1_1",476.589,281.444,53.9152,57.5112,204.046,13.1581,67.2228,28.0878,109.822,128.446,80.839,200.436,193.45,87.7228,378.597,525.046,94.6051,111.9284
"oases2_CL10755Contig1_1",8,11,3,15,37,2,40,12,17,38,0,13,2,0,1,1,4,3
"oases2_CL10756Contig1_1",38.7997,19.6697,37.5166,8,83.713,32,27.8487,3.29468,59.9562,50.7787,224.986,0,1296.71,556.326,294.801,107.67,122.9013,942.571
"oases2_CL10768Contig1_1",133,52,5,7,184,12,8,6,5,88,1,8,3956,3673,4111,3031,838,2562
"oases2_CL10769Contig1_1",6,0,0,0,1,1,1,20,14,96.6955,8,0,4,0,0,0,0,0
"oases2_CL1076Contig1_1",19,6,0,14,25,0,2,10,0,15,0,6,0,0,0,0,6,0
"oases2_CL10787Contig1_1",0,14,10,5,4,1,2,15,5,15,0,4,1,0,2,1,8,0
"oases2_CL10789Contig1_1",14,9,0,16,32,0,0,31,0,35,0,24,0,0,0,0,0,0
"oases2_CL10799Contig1_1",8.67793,0,1,17.539,68.504,5.70858,5.81137,29.7452,5.84862,119.033,1,7.01112,7.16309,4,6.32339,0,0,0
"oases2_CL107Contig2_1",190.844,130.764,2.44099,274.36,370.887,17.5245,17.0124,98.5219,6.75342,142.503,69.8114,93.5707,1.81191,0,0,0,23.3524,6.83571
"oases2_CL10804Contig1_1",51.471,32.5153,7.75799,0,2.70543,0.00208166,9.36115,14.6135,26.8926,54.9134,138.477,13.5211,7.96551,107.147,13.8973,143.73,9.31913,0
"oases2_CL10805Contig1_1",5,7.21791,1,35.4141,32,0,0,20.1022,0,28,0,5,0,0,0,0,7.35118,1
"oases2_CL10809Contig1_1",38,11,6.63847,1,34,0,2,1,2,43,20,0,137.757,184.879,144.927,168.691,46.4611,110.248
"oases2_CL10819Contig1_1",9.07098,47.0556,4.7274,0.106601,46.025,5.88561,0,11.9117,3.66211,51.1307,11,1.77832,122.125,151.8,97.0264,51.572,40.4133,163.5913
"oases2_CL10833Contig1_1",88.1403,49.3798,13.7869,33.0239,264.956,0.540816,3,38.2317,13,23.3804,1,1.51584,243.544,335.213,416.203,392.23,234.485,307.155
"oases2_CL10839Contig1_1",0,13,0,2,0,5,2,2,3.96369,16.8223,21,2,22.4696,9.97525,17.9429,0,26.7178,94.4229
"oases2_CL10849Contig1_1",2,6,4,0,11,1,10,0,25,47,27,0,52,5,17,2,9,23
"oases2_CL10852Contig1_1",6.69876,5.97942,1,14.2299,30.0846,2.6865,7.81222,1.77914,17.8702,51.6446,1,5,14.1716,1.22203,6.03775,4.68909,4.20718,2
"oases2_CL10868Contig1_1",11.0773,12.8457,4,1.52242,0,0,0,0,0,9.87206,1,3,1.23035,85.1023,1.49014,59.1132,2.64025,3.80333
"oases2_CL10869Contig1_1",534.099,98.6588,38.7757,119.842,1140.07,83.9332,40.0057,1154.14,138.561,472.742,35.7234,83.7223,2074.71,2345.59,2791.63,1797.96,1077.215,1444.473
"oases2_CL10881Contig1_1",92.227,21.8724,6.74643,8.98058,285.185,13.4985,5.91718,6.49161,3.88574,15.3082,0,2.83848,1338.72,245.065,966.762,241.667,364.87,1038.002
"oases2_CL10884Contig1_1",33.6792,6,14,31,518,54,96,41,1,28,2,19.9755,42.9465,2.00006,44.0126,5.00146,7.67681,7.5476
"oases2_CL10885Contig1_1",77.0386,121.057,35.289,8,84.8232,8.77943,4.42454,7.88648,20.5962,47.5631,27,2.82636,2180.23,2070.11,790.61,643.672,258.55,1396.963
"oases2_CL10887Contig1_1",48.9439,14.1164,5.87529,8.87498,58.994,0,0,16.8768,14.6098,106.932,0,3.01462,46.3052,40.8429,31.4529,36.9947,21.57007,38.9906
