"","DS6","DF6","DL6","DR3","DS3","DF3","DL3","DR2","DS2","DF2","DL2","DR6","NF3","NF6","NR3","NR6","BR3","BF3"
"oases3_k49_Locus_542_Transcript_3_1",114,35,9,11,167,2,15,19,30,131,1,17,137,189,148,144,34,123
"oases3_k49_Locus_5430_Transcript_4_2",52.9765,19.2926,5.6548,12.4716,101.957,3.2699,3.15285,14.5447,13.5929,20.3392,40,3.35632,1376.02,376.555,1138.33,438.169,535.874,1206.435
"oases3_k49_Locus_5433_Transcript_10_1",22.1179,2.11862,0,3.73798,7.81056,4.27999,0,0,2,3.8059,0,0,159.307,24.7801,138.401,31.0418,59.5885,84.775
"oases3_k49_Locus_5441_Transcript_6_1",7,3,1,0,37,0,1.04684,0,10,5,10,1,172,22,165,24,66,119
"oases3_k49_Locus_54439_Transcript_1_1",31,3,2,0,6.07433,0,4,0,0,3,25,0,371.555,224.566,68,27.0569,20,106.2401
"oases3_k49_Locus_5443_Transcript_30_1",165.295,35.614,2,65.3623,402.108,3.57218,5,31.4098,10.4036,62.9541,10,16.1197,561.855,308.578,1329.4,222.532,530.112,361.41
"oases3_k49_Locus_5448_Transcript_3_1",3,1,0,3,25,1,2,0,0,1,0,0,112,7,133,4,75,82
"oases3_k49_Locus_5460_Transcript_1_1",50,16,0,4,91,6,5,3,6,59,0,6,201,122,169,88,53,167
"oases3_k49_Locus_5470_Transcript_1_1",757,91,24,51,1111,34,17,67,45,301,23,49,984,933,1120,943,305,690
"oases3_k49_Locus_5476_Transcript_12_1",8,0,1,7,28.5943,0,1,3,0,1,0,0,174.671,0,146.177,0,66.5301,102.7443
"oases3_k49_Locus_5480_Transcript_4_1",348,212,48,77,270,32,104,103,165,251,160,95,1683,940,1522,1141,680,1094
"oases3_k49_Locus_548_Transcript_6_1",472.998,204.525,99.836,105.649,1209.36,59.4613,160.576,181.706,292.079,437.236,274,122.053,4855.92,1802.61,3406.35,2709.72,1482.876,2652.07
"oases3_k49_Locus_5513_Transcript_5_1",23.6889,15,2,8,37,1,4,4,7,13,21,1,304,196,229,191,91,185
"oases3_k49_Locus_5532_Transcript_8_1",163.601,134.136,24,21.9032,152.01,19.3188,37,18,57,227.539,221,29.9307,975.303,458.606,462.092,417.858,223.968,656.687
"oases3_k49_Locus_5540_Transcript_9_1",8.01978,5,0,4,23.0713,0,1,2,0,11,0,1,51.3731,18.4454,48.7809,17.5775,34.6393,31.5969
"oases3_k49_Locus_5545_Transcript_13_2",29,6,1,1,18,1,2,0,3,1.39976,0,1,296.439,346.918,308.164,270.228,87,278.447
"oases3_k49_Locus_5548_Transcript_1_1",16,14,18,4,6,1,1,2,0,1,0,1,228,574,64,307,59,133
"oases3_k49_Locus_5552_Transcript_1_1",0,0,0,4,8,0,0,0,0,0,0,1,13,11.242,14,3,10,31
"oases3_k49_Locus_55706_Transcript_1_1",21,0,1.47765,56.3929,554.636,79.4724,68.52,1,0,1,0,0,19.0644,0,20.03,0,1.86601,27
"oases3_k49_Locus_5578_Transcript_3_1",125,25,8,3,56,1,1,7,2,20,1,9,168,478,147,649,82,154
"oases3_k49_Locus_55806_Transcript_10_1",0,0,0,0,1,0,0,0,0,0,0,1,1,19.5492,1822.71,3.00916,18.9252,7.20022
"oases3_k49_Locus_5586_Transcript_9_2",12,3,2,7,75,0,4,2,1,45.7047,0,1,11.4832,1.11471,5.12048,2,5.46629,7.09368
"oases3_k49_Locus_558_Transcript_4_1",288,90,19,57,878,8,26,82,18,563,169,65,717,585,1065,818,358,447
"oases3_k49_Locus_5607_Transcript_6_1",6,1,0,0,24,0,0,0,0,2,0,0,56.2357,147.162,68.0013,141.152,30.5499,28.2041
"oases3_k49_Locus_56115_Transcript_1_1",37.7639,47.8801,6.93161,21,83.7882,55.9818,54.7747,31.6143,10.611,113.31,3.95107,37.7438,20.8615,3.34268,19.185,2.30532,1.73755,10.57988
"oases3_k49_Locus_5623_Transcript_11_1",5.05588,24.1131,3,4.20427,26.4113,1,5,5.04518,10.4374,22.0344,55,12,341.657,3.0294,229.838,5.13296,60.582,212.0399
"oases3_k49_Locus_5623_Transcript_11_2",53,17,4,7,42,1,3,6,3,8,0,2,917,689,516,535,198,538
"oases3_k49_Locus_56263_Transcript_1_1",4,0,0,0,0,0,0,0,0,0,0,0,20,18,20,11,0,10
"oases3_k49_Locus_5634_Transcript_4_1",0,2,0,1,44.727,0,0,1,0,0,0,0,74.1831,29.981,160.348,25.6046,91.313,51.2082
"oases3_k49_Locus_5646_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,1,16,10,24,16,8,14
"oases3_k49_Locus_5652_Transcript_7_2",1.18519,1.11957,1,0,66.8309,0,0,0,0,2.20219,0,0,140.272,22.1521,252.727,48.1936,136.7202,186.5943
"oases3_k49_Locus_5656_Transcript_3_1",1340,597,370,281,2397,81,295,234,373,1265,251,400,2410,1952,2339,2276,690,1292
"oases3_k49_Locus_5659_Transcript_10_1",24,5.73549,3,7,41,3,0,3,0,11,1,2,340.301,268.407,436.453,301.96,133.2925,286.242
"oases3_k49_Locus_565_Transcript_4_1",99.7489,13.5907,15.0503,461.395,1977.69,142.469,590.215,29.1182,34.9884,95.3527,44.8811,32.5871,440.029,30.2764,422.073,87.1196,202.6194,221.866
"oases3_k49_Locus_566_Transcript_7_1",2496,2396,495,664,3149,327,1626,1258,2151,8627,1384,1245,3786,2268,1983,2175,880,2125
"oases3_k49_Locus_5672_Transcript_3_1",31,18,8,1,33,1,10,11,13,50,0,2,261,258,174,81,57,175
"oases3_k49_Locus_5674_Transcript_9_1",725,347,114,94,788,76,83,243,191,252,342,55,5558,4169,3689,4732,1864,3894
"oases3_k49_Locus_5678_Transcript_1_1",702,474,514,130,2285,86,866,257,485,4039,744,273,1504,966,1075,836,254,742
"oases3_k49_Locus_56798_Transcript_1_1",4,6,4,6,52,0,12,0,4,18,0,5,19,3,26,10,3,2.81159
"oases3_k49_Locus_5681_Transcript_1_1",7,3,3,9,19,0,0,2,0,2,0,0,310,30,189,34,70,199
"oases3_k49_Locus_5685_Transcript_2_1",456,333,75,133,897,124,423,92,556,1270,614,64,7113,2501,2681,1479,1159,4468
"oases3_k49_Locus_5686_Transcript_8_1",25,90.6291,3,11.7251,50.4702,19,1.27419,7.0671,7,148.703,0,4,1630.72,504.969,335.974,93.287,169.7039,895.89
"oases3_k49_Locus_5687_Transcript_3_2",6.81202,3,1.59224,0,0,1,1,0,0,1.5911,0,0.379296,55.2016,20.0018,39.2625,15.3479,37.802,42.1806
"oases3_k49_Locus_5689_Transcript_4_1",52,53,4,2,29,3,13,9,19,58,52,8,387.252,252.056,158,132.048,55,267
"oases3_k49_Locus_568_Transcript_4_3",0,0,0,0,3,2.73057,0,0,0,0,0,0,52.9237,5.89526,15,5.29868,3.56894,47.6711
"oases3_k49_Locus_5694_Transcript_4_1",821.599,624.901,153,306.943,888.832,103,387.8,334.481,578.253,2109.6,296.035,499.879,1901.4,921.316,1431.65,2083.88,644.035,1039.235
"oases3_k49_Locus_56_Transcript_138_2",359.866,310.983,130,78.8789,574.312,116.978,172.688,30.345,79,361.201,28,143.266,273.06,146.335,177.456,111.017,40.6861,88.2776
"oases3_k49_Locus_56_Transcript_138_3",5.90556,3.37705,0,0,39.3607,0,2,5,1,3,30,0,152.323,36.0113,86.0839,29.0686,39.2092,144.1665
"oases3_k49_Locus_5707_Transcript_35_2",4.08921,2.03719,0,0,1.11883,0,0,0,0,2,0,0,225.766,61.0783,148.156,70.2457,49.8088,134.7115
"oases3_k49_Locus_5707_Transcript_35_3",22.3837,8.54045,3.13496,4.67622,78.6909,1,5,2,0,3.04099,0,3,215.424,58.7023,169.314,54.6566,82.1357,170.2031
"oases3_k49_Locus_57092_Transcript_1_1",4,5.00176,2,9,23,7,15,0,49,22,0,1.00234,26,4,28,2,4,15
"oases3_k49_Locus_5715_Transcript_4_1",6,3,0,33,37,1,1,13,0,10,1,6,0,0,0,0,2,0
"oases3_k49_Locus_5722_Transcript_1_1",33,38,2,17,68,10,4,8,16,97,206,2,973,479,578,165,144,632
"oases3_k49_Locus_57352_Transcript_1_1",0,0,0,0,25,0,0,0,0,0,0,0,15,8.24299,20,17,1,9
"oases3_k49_Locus_5765_Transcript_2_1",227,47,8,22,114,3,14,3,0,50,0,10,444,338,507,368,180,315
"oases3_k49_Locus_5771_Transcript_3_1",12,8,0,0,6,0,4,2,6,1,0,3,84,48,85,55,41,57
"oases3_k49_Locus_5771_Transcript_3_2",20,13,3,0,26,1,0,0,7,4,1,2,149,214,60,217,19,156
"oases3_k49_Locus_5775_Transcript_1_1",0,1,0,0,0,0,2,0,0,3,14,3,213,17,13,1,9,188
"oases3_k49_Locus_5779_Transcript_1_1",550,257,21,40,464,53,48,42,29,243,177,88,1341,944,1540,1602,693,1048
"oases3_k49_Locus_57807_Transcript_1_1",22,29,8,2,63,2,2,1,5,17,31,7,32,65,128,334,59,19
"oases3_k49_Locus_5780_Transcript_41_1",12.2538,2.63917,0,5,105.696,5,3,1,1,37.8274,1,0,175.343,45.4475,351.748,55.8292,190.5099,169.0996
"oases3_k49_Locus_5788_Transcript_3_1",8,5,3,3,16,2,4,3,4,5,0,0,127,83,61,42,28,93.1793
"oases3_k49_Locus_5813_Transcript_3_1",3,0,1,3,47,0,0,0,0,3,0,0,34,4,102,10,51,22
"oases3_k49_Locus_5837_Transcript_6_1",40,25,1,2,140,3,3,8,2,24,80,3,623,522,632,336,114,300
"oases3_k49_Locus_5853_Transcript_5_1",5.39094,4,0,1,48,3.01871,5,1.09453,2.2945,25.3968,0,2.20058,116.544,47.3394,86.9633,40.0862,37.6932,127.5358
"oases3_k49_Locus_58643_Transcript_3_1",0,1,0,0,0,0,0,0,0,0,0,0,29.8365,23.1175,272.115,11.8555,3.00342,6.00455
"oases3_k49_Locus_5868_Transcript_3_1",125.01,6,1.68742,84,1434.23,17,15.2185,2,4.9281,5,2,6,806.026,2,2720.06,69.0995,875.882,572.339
"oases3_k49_Locus_5870_Transcript_14_2",12.6796,2.26136,4.20409,0,0,1.98164,2.00862,0,0,9.158,0,1,77.2531,36.2435,33.4912,18.1334,6.83216,70.3324
"oases3_k49_Locus_5872_Transcript_14_1",43.4685,133.617,152,25.8217,68.252,60.7561,210,22.0175,299.712,494.533,202,4.25457,1356.45,712.657,109.788,45.097,29.2751,1165.017
"oases3_k49_Locus_5875_Transcript_1_1",18.5027,35.6116,14,7,139.644,5,4,4,17,15,1,0,1474.97,1177.49,1252.13,719.149,261.877,1002.786
"oases3_k49_Locus_58_Transcript_2_1",37,39,6,7,44,5,13,18,12,145,0,10,1782,525,663,210,306,1163
"oases3_k49_Locus_5902_Transcript_4_1",782,352,171,206,1183,64,155,167,364,944,363,379,2233,2391,3012,4650,1137,1638
"oases3_k49_Locus_5906_Transcript_1_1",93,15,2,3,133,0,0,3,0,13,0,2,147,124,198,102.963,66,71
"oases3_k49_Locus_59073_Transcript_1_1",3,2,0,0,6,0,0,0,0,6,0,0,14.0136,14.001,11.1045,10.0324,3,9
"oases3_k49_Locus_5911_Transcript_4_1",70.3454,15.149,0,4,58.7135,5,3,9,1.119,19.4332,0,4.17173,453.491,344.413,315.134,258.07,124.9238,374.42
"oases3_k49_Locus_5928_Transcript_6_1",10,11,0,0,22,0,0,8,0,13,0,0,106.075,128.191,168.31,87.1432,61.6662,135.2163
"oases3_k49_Locus_5934_Transcript_2_1",101.386,22.0565,10.2027,16.6921,71.7968,2.67996,4.90167,27.5058,13.4376,44.0498,1,23.0044,54.2633,41.1378,75.289,58.8418,32.3705,24.6792
"oases3_k49_Locus_5936_Transcript_4_1",37.841,63,15.814,3.26865,210.887,2.12281,16.4648,27.2818,32,128.237,3.01839,7.12143,1459.75,701.372,1466.93,468.425,356.936,927.915
"oases3_k49_Locus_5963_Transcript_3_1",112.217,28.9414,4.40681,6,240.462,28.02,6.67139,11,6,94.0856,30,2,2514.68,1177.67,1579.26,743.664,718.544,2435.62
"oases3_k49_Locus_5965_Transcript_2_1",95,68,8,0,13,6,7,2,24,28,77,2,1423,2693,305,203,98,1261
"oases3_k49_Locus_5975_Transcript_16_1",0,0,1,0,0,0,0,0,0,0,0,0,27.4868,7,28.2314,23.2764,20,28.2101
"oases3_k49_Locus_5975_Transcript_16_2",23,4,0,2,23.5564,1,2,1,3.90962,5.30464,0,3,73.6174,16.3829,74.2795,23.406,49.3015,54.6831
"oases3_k49_Locus_5982_Transcript_3_1",108.735,34,23.6426,4,117.816,5,3,7,17,40,45,6,1326.87,1296.07,1298.27,973.736,378.583,999.134
"oases3_k49_Locus_6005_Transcript_23_1",110,94,12,30,235,16,25,41,57,333,15,45,230,33,170,52,66,178
"oases3_k49_Locus_6008_Transcript_3_1",61,32,23,38,400,20,58,19,27,160,41,7,1152,439,1169,549,223,373
"oases3_k49_Locus_600_Transcript_16_1",709.546,651.592,177,114,510.871,97,220,107,378,572,275,199,3149.02,1693.19,1604.83,1490.09,598.417,1377.345
"oases3_k49_Locus_6013_Transcript_9_1",126.506,19.0083,0,0,3,0,0,3.49534,1,35.8132,39.3284,0,479.806,207.175,17.0378,1.00881,4.01174,320.098
"oases3_k49_Locus_6015_Transcript_11_1",51,16,0,21,224.924,5,5,14,6,88.9257,0,9,141.774,77,170.778,158,69.967,69.812
"oases3_k49_Locus_6019_Transcript_10_2",3.07657,1.0022,1.01694,6.08805,18.5231,0,0,0,0,0,0,0,460.069,152.296,481.526,212.577,153.3454,363.034
"oases3_k49_Locus_6020_Transcript_5_1",298,127,49,29,342,12,19,35,39,141,95,27,1734,1942,1441,1450,498,1183
"oases3_k49_Locus_6024_Transcript_17_1",104,36,8,18,52,6,21,18,24,29,0,12,504,322,407,411,179,308
"oases3_k49_Locus_6026_Transcript_3_1",1,3,0,1,16.2209,0,1,1,0,0,0,1.44853,98.2282,54.8606,160.574,97.2333,49.6742,35.4844
"oases3_k49_Locus_602_Transcript_1_1",68,28,6,7,47,5,6,6,1,29,1,1,311,290,241,318,81,179
"oases3_k49_Locus_6036_Transcript_1_1",86,61,13,10,88,7,4,13,6,49,1,12,607,359,368,339,194,485
"oases3_k49_Locus_6045_Transcript_2_1",875,907.992,89,178,1146.97,191,231,166,106,1608,313,243,1045,1180.95,1148.85,1292.38,446,1004
"oases3_k49_Locus_6046_Transcript_4_1",100.959,48.6997,7,8,72.7335,4,12,17,16,68.3177,3,14,426.524,409.867,443.041,312.916,183.4201,317.683
"oases3_k49_Locus_6050_Transcript_1_1",17,2,5,5,99,0,1,2,0,1,0,22,4,6,165,1900,156,0
"oases3_k49_Locus_6052_Transcript_4_1",171,50,10,36,274,9,5,14,15,78,42,41,994,791,1372,1995,555,736
"oases3_k49_Locus_6055_Transcript_3_1",197,51,17,9,159,7,5,12,5,76,2,14,1617,1530,1407,1661,414,1118
"oases3_k49_Locus_606_Transcript_26_2",18,6,3,0,50,3,2,0,0,6,24.6913,0,1213.77,652.815,1160.44,509.871,298.968,901.287
"oases3_k49_Locus_6079_Transcript_2_1",154.304,39.6131,4.90267,8,122.188,5.74382,8,2,3,9.88665,122,3.84808,1013.65,828.538,979.139,795,347.465,842.497
"oases3_k49_Locus_60831_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,133,147,182,116,0,0
"oases3_k49_Locus_60898_Transcript_3_1",0,0,0,0,0,0,0,0,0,0,0,0,117.958,127.87,165.886,130.619,0,0
"oases3_k49_Locus_6089_Transcript_6_2",1.19556,0,0,0,0,1,0,1,0,0,0,0,77.4844,75.0179,77.6039,57.638,20.63436,80.3165
"oases3_k49_Locus_60965_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,24.9846,16.5669,23.6164,102.956,0,0
"oases3_k49_Locus_60984_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,110,112,160,873,0,0
"oases3_k49_Locus_6100_Transcript_7_1",235.531,113.401,13.4866,33.8316,465.838,19,17.3289,30.5944,12.4582,239.801,22,14.9353,272.464,252.698,334.029,293.218,162.0529,276.268
"oases3_k49_Locus_61043_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,40,37,48,42,0,0
"oases3_k49_Locus_61051_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,18,16.0496,183.67,4.64116,3.90504,3.74563
"oases3_k49_Locus_6107_Transcript_12_2",12.5397,45.9111,0,23,177.239,23,10,28.0847,17,121.751,22,0,508.822,326.226,388.258,343.2,146.1878,341.867
"oases3_k49_Locus_6116_Transcript_2_1",14,0,0,2,36,1,1,0,4,1,0,0,248,2,137,6,56,148
"oases3_k49_Locus_61178_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,120,110,129,85,0,0
"oases3_k49_Locus_6117_Transcript_3_1",162,158,41,15,210,27,32,10,35,196,93,37,363,403,229,225,86,256
"oases3_k49_Locus_61184_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,75,74,115,217,0,0
"oases3_k49_Locus_61195_Transcript_1_1",12,0,1,10,118.674,0,1,1,1,0,0,7,3.00761,0,12.0135,1.00056,2.0148,0
"oases3_k49_Locus_6124_Transcript_10_1",94,20.6717,2,8,101,3,4,3,10,19,22,9.58907,625.544,460.412,647.381,619.315,367.751,512.249
"oases3_k49_Locus_6124_Transcript_10_2",18.5196,8.80245,0,10,37,4,4,7,10,33.6257,13,6.48345,126.954,35.0272,197.209,77.9339,49.46,39.2993
"oases3_k49_Locus_6125_Transcript_2_1",69,24,7,5,69,3,13,4,11,50,1,13,158,225,160,198,62,115
"oases3_k49_Locus_61271_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,30,18,41,258,0,1
"oases3_k49_Locus_61273_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,19,17.0197,15,178.45,0,0
"oases3_k49_Locus_612_Transcript_10_1",195,41,12,35.325,191.766,9,13,42,48,49.0555,22,32,1428.4,734.369,1497.07,1427.47,625.986,932.495
"oases3_k49_Locus_61316_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,27,38,49,28,0,0
"oases3_k49_Locus_61318_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,11.4833,19.6245,24,150.884,0,0
"oases3_k49_Locus_6134_Transcript_2_1",1.25789,0,0,0,10.7662,1,0,1,0,0,0,0,3.27533,0,96.0762,11.3656,126.759,8.58378
"oases3_k49_Locus_61362_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,17.0156,13,15,11,16.001,0
"oases3_k49_Locus_6139_Transcript_3_1",3,0,0,0,2,0,0,1,0,0,0,0,103.088,13.7561,100.073,23.3379,33.2571,103.7973
"oases3_k49_Locus_6141_Transcript_18_1",157.105,157.084,11.7575,121,315.981,20,43.9314,86,55,433.15,45,58.9487,567.604,326.464,419.265,310.105,158.6278,322.876
"oases3_k49_Locus_6148_Transcript_1_1",17.6511,3,1,0,19,0,1,0,8,5,1,0,241.968,263.628,265,274,56,144
"oases3_k49_Locus_6152_Transcript_1_1",504,28,23,325,16090,17,24,283,17,24,21,381,426,277,46289,37079,9524,163
"oases3_k49_Locus_6157_Transcript_3_2",0,0,0,0,2,0,1,1,8,3,30,0,75,5,88,3,26,41
"oases3_k49_Locus_6162_Transcript_4_1",1031.39,329.747,97.1412,272.229,1924.43,58.4179,93.0034,140.865,113.965,505.329,528.817,77.6915,6779.2,4257.07,7725.03,5066.79,2613.39,4556.52
"oases3_k49_Locus_61661_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,14,12,21,14,0,0
"oases3_k49_Locus_61778_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,21,23,38,27,0,0
"oases3_k49_Locus_6185_Transcript_3_1",3.49516,0,0,1,16.1994,1,0,0,0,0,0,0,68.4808,16.4184,83.8714,8.1054,56.9887,87.7421
"oases3_k49_Locus_6202_Transcript_4_1",32,41,16,4,20,4,3,1,16,31,0,1,746,1069,173,354,122,575
"oases3_k49_Locus_6207_Transcript_7_1",142,63,32,11,249,1,3,21,18,109,23,7,2067,1535,876,718,325,1486
"oases3_k49_Locus_6212_Transcript_3_1",125,83,11,20,158,17,11,15,18,87,28,19,1735,1207,959,806,377,1223
"oases3_k49_Locus_6217_Transcript_3_1",6,2,0,1,32,0,0,0,1,0,0,0,158.962,85.0381,497.592,65.388,164.32,94.098
"oases3_k49_Locus_6218_Transcript_3_1",110,61,12,2,65,1,3,13,6,116,2,7,479,787,351,263,91,385
"oases3_k49_Locus_6220_Transcript_1_1",9.24417,7.3293,2,0,17.3007,0,2.77629,0,4,0,0,1,74.8204,24.9384,85.1885,41.8992,15.90407,32.40904
"oases3_k49_Locus_622_Transcript_13_1",147.218,83.0439,10.9964,189.099,429.612,8.46896,8.1055,117.739,5,97.2834,67.9675,64.5708,16.0363,8,18.6094,10.298,141.7143,23.7162
"oases3_k49_Locus_62369_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,30,32,43.5085,30,0,0
"oases3_k49_Locus_62383_Transcript_1_1",977.142,395.533,63.6423,14.8851,9.67845,8,3.4955,340.445,74.0777,1545.8,171.849,756.085,0,0,0,0,0,0
"oases3_k49_Locus_6238_Transcript_6_1",26.3926,18.383,4,1.5e-07,57.4101,1,2,0,0,11.1035,3,1.59761,137.009,333.976,224.318,113.162,72.9128,138.7339
"oases3_k49_Locus_6239_Transcript_3_1",2,5,0,1,9,0,0,2,1,4,0,1,52,34,122,40,49,26
"oases3_k49_Locus_62401_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,23,34,40,180,0,0
"oases3_k49_Locus_62423_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,10.0661,7.64312,12.9657,99.0639,0,0
"oases3_k49_Locus_6245_Transcript_5_1",18.6639,4,0,3,7.27846,2,1,0,0,4,0,2,172.401,49.5281,109.656,68.225,37,131.5405
"oases3_k49_Locus_6249_Transcript_20_1",8,5,1,2,38,2,1,0,2,13,0,2,409,223,253,92.2643,110,254
"oases3_k49_Locus_6251_Transcript_1_1",55,23,1,4,68,4,1,2,5,110,0,0,49,81,302,70,82,29
"oases3_k49_Locus_6253_Transcript_4_1",447.695,308.863,171,124,1059,36,195.743,88,123,282,36,175,619.029,376.033,579.545,560.247,254.307,317.724
"oases3_k49_Locus_6256_Transcript_2_1",2920,2777,363,689,4510,781,894,805,817,6217,713,1212,4934,3176,4060,3936,1581,2657
"oases3_k49_Locus_6260_Transcript_1_1",733.263,287.751,55.8524,41.8646,527.845,47.7566,33.4595,57.9206,65.6443,261.364,127.265,58.4188,2695.41,1901.1,1588.06,1823.43,707.177,1795.158
"oases3_k49_Locus_6274_Transcript_1_1",1152,306,236,163,2828,37,164,152,182,1105,215,116,1822,1008,1637,1183,410,843
"oases3_k49_Locus_62900_Transcript_1_1",3.6752,50.0456,1,25.418,8.33611,14.714,43.9317,3.27715,0,18.2022,0,3.24454,3.41131,0,2.33006,0,0,0
"oases3_k49_Locus_6292_Transcript_4_1",3,0,0,0,6,0,0,1,0,3,0,1,102,49,79,13,17,66
"oases3_k49_Locus_6293_Transcript_10_1",6.03812,3.35797,0,0,21.7517,1.04382,0,0,0,3.07054,48.012,3,297.87,42.4475,246.21,32.0132,80.3381,239.536
"oases3_k49_Locus_6293_Transcript_10_3",119,24,8,8,518,3,3,1,1,19,64,4,2163.93,1288.3,2857.04,1316.08,954.981,1690.895
"oases3_k49_Locus_629_Transcript_10_1",412.437,126.406,35,37,207,33,36,40,29,141,222,45,1926.22,922.729,1367.82,1079.67,482.803,896.142
"oases3_k49_Locus_6306_Transcript_3_1",0,0,0,0,10.3215,2,1,0,0,1,0,1,39.867,0,85.635,0,32.4256,35.1412
"oases3_k49_Locus_6306_Transcript_3_2",8,2,0,0,0,0,0,0,0,0,1,0,17.9825,28.6465,45.4804,29.732,15.20821,16.38878
"oases3_k49_Locus_6310_Transcript_4_1",716,482,103,165,867,69,231,232,173,1736,153,286,1457,866,964,746,287,708
"oases3_k49_Locus_6313_Transcript_8_1",411,15,2,29,390,1,5,37,5,29,71,26,309,180,1451,1050,564,206
"oases3_k49_Locus_6316_Transcript_1_1",0,3,0,0,7,1,0,0,0,0,0,0,13.1513,1,13.5706,2.11165,18.37378,29.3664
"oases3_k49_Locus_63208_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,31,29,32,20,0,0
"oases3_k49_Locus_63416_Transcript_1_1",0,0,0,0,0,0,0,0,0,0,0,0,9,11,38.0373,13,1.00006,2
"oases3_k49_Locus_6358_Transcript_5_1",62.6652,14.4086,1,4.22926,63.8689,2,3,0,2,26,0,0,343.979,322.287,511.781,281.789,206.5168,345.158
"oases3_k49_Locus_6370_Transcript_4_1",28.7188,3.25497,0,2,122,1,2,1.43945,1,20.0532,0,0,248.53,28.4213,182.441,50.1222,64.504,99.4132
"oases3_k49_Locus_637_Transcript_2_1",279,61,23,11,190,7,6,18,14,68,114,10,1078,915,1316,1318,434,678
"oases3_k49_Locus_6384_Transcript_2_1",48.9183,16.9041,9.37575,10.2221,36.909,1.64736,3.07152,1.61152,1.51883,21.3331,13.6625,3.22839,591.003,369.233,392.602,365.888,147.5087,348.973
"oases3_k49_Locus_6391_Transcript_6_1",558,230,73,71,516,103,145,268,125,509,201,169,1468,762,1421,984,343,664
"oases3_k49_Locus_6397_Transcript_6_1",129.575,22.5095,20.8221,3.79432,81.2923,3,8.52942,8.06882,13.545,34.0211,23,10.8478,555.458,532.517,605.589,631.103,265.422,424.266
"oases3_k49_Locus_6407_Transcript_22_1",62.7572,18,15,1,111,1,9.69529,0,1,0,0,4,279.513,195.633,291.729,227.769,95.3728,161.0158
"oases3_k49_Locus_6407_Transcript_22_3",32.1007,6,2.1957,7.191,9,1,3,0,0,1,0,2,78.9619,110.709,86.228,83.976,37.3042,81.8422
"oases3_k49_Locus_6409_Transcript_18_1",373,445,161,53,317,118,262,46,290,316,289,90,696,600,381,364,180,511
"oases3_k49_Locus_6410_Transcript_3_1",30.3795,7,2,0,22.9806,0,3,1,1,15,0,1,83.7014,64.047,140.066,105.943,60.1388,64.0038
"oases3_k49_Locus_6419_Transcript_5_1",70,34,12,18,144,12,3,22,3,27,5,12,791,508,601,381,168,568
"oases3_k49_Locus_641_Transcript_56_1",71.8881,14.0091,7.76392,7.90194,12.1276,1,6.17066,4,8.83125,38.0543,1,6.24493,201.261,162.307,105.484,118.824,61.0278,141.0779
"oases3_k49_Locus_641_Transcript_56_2",5.97265,5.85716,0,3,6,0.462044,4,0,3.87814,8.40279,0,5.10886,132.951,38.1146,113.123,35.696,45.8507,45.969
"oases3_k49_Locus_6421_Transcript_1_1",154.737,41.8314,35,13,73,6,56.9747,19,133.944,77.9214,171,13,483.228,248.026,727.405,207.899,137.8325,285.22
"oases3_k49_Locus_6427_Transcript_3_1",135,114,23,6,190,17,15,5,31,89,22,19,1462,1152,518,363,185,807
"oases3_k49_Locus_6431_Transcript_4_1",217.887,64,11,40,227,7,19,36,27.6148,95,80.8494,34,1374.37,818.771,1772.67,1112.57,496.227,813.402
"oases3_k49_Locus_6441_Transcript_5_1",33.9985,7.23779,1,16.0571,97.9558,8,27,33.7243,16.8416,245.539,13,2,285.375,101.975,232.161,120.153,101.4727,196.285
"oases3_k49_Locus_6447_Transcript_2_1",12,0,2,4,124.971,21,13,6,14,64,0,0,47,7,74.7562,13,28,48
"oases3_k49_Locus_6454_Transcript_4_1",30,45,7,17,78,16,14,24,32,196,1,43,51,53,43,43,20,25
"oases3_k49_Locus_645_Transcript_3_1",55.2425,3.09823,0,12,73,0,2,4,12,9,0,3.40334,672.386,127.166,750.891,310.295,370,523
"oases3_k49_Locus_6467_Transcript_10_2",53,22,17,1,41,3,11,3,10,18,51,1,2065,2529,1108,411,337,1775
