Gene Flower Leaf Stem
TRINITY_DN8635_c0_g1_i1 0 0 0
TRINITY_DN8694_c0_g1_i1 0 0 0
TRINITY_DN8644_c0_g1_i1 0 0 0
TRINITY_DN8659_c0_g1_i1 1 1 0
TRINITY_DN8631_c0_g2_i1 0 0 0
TRINITY_DN8631_c0_g3_i1 1 0 0
TRINITY_DN8611_c0_g1_i1 0 0 0
TRINITY_DN8657_c0_g1_i1 0 0 0
TRINITY_DN8680_c0_g1_i1 0 0 0
TRINITY_DN8610_c0_g1_i1 0 0 0
TRINITY_DN8673_c0_g2_i1 1 0 0
TRINITY_DN8642_c0_g1_i1 0 0 0
TRINITY_DN8665_c0_g1_i1 0 0 0
TRINITY_DN8602_c0_g1_i1 0 0 0
TRINITY_DN8641_c0_g1_i1 -1 0 0
TRINITY_DN52820_c0_g1_i1 -1 0 0
TRINITY_DN52806_c0_g1_i1 0 0 0
TRINITY_DN52896_c0_g1_i1 -1 -1 0
TRINITY_DN52885_c0_g1_i1 0 0 0
TRINITY_DN52857_c0_g1_i1 1 0 0
TRINITY_DN52841_c0_g1_i1 -1 0 0
TRINITY_DN52894_c0_g1_i1 1 0 0
TRINITY_DN52816_c0_g1_i1 0 0 0
TRINITY_DN52837_c0_g1_i1 0 0 0
TRINITY_DN52855_c0_g1_i1 0 -1 0
TRINITY_DN52886_c0_g1_i1 0 0 0
TRINITY_DN52824_c0_g1_i1 0 0 0
TRINITY_DN52808_c0_g1_i1 0 0 0
TRINITY_DN52872_c0_g1_i1 0 0 0
TRINITY_DN69461_c0_g1_i1 0 0 0
TRINITY_DN69463_c0_g1_i1 0 0 0
TRINITY_DN69414_c0_g1_i1 -1 0 0
TRINITY_DN69432_c0_g1_i1 1 1 0
TRINITY_DN69457_c0_g1_i1 0 0 0
TRINITY_DN69484_c0_g1_i1 0 0 0
TRINITY_DN69429_c0_g1_i1 0 0 0
TRINITY_DN69411_c0_g1_i1 0 -1 0
TRINITY_DN69445_c0_g1_i1 1 0 0
TRINITY_DN69489_c0_g1_i1 0 0 0
TRINITY_DN69404_c0_g1_i1 1 0 0
TRINITY_DN69493_c0_g1_i1 0 0 0
TRINITY_DN69493_c0_g2_i1 0 0 0
TRINITY_DN69402_c0_g1_i1 0 0 0
TRINITY_DN69437_c0_g1_i1 0 0 0
TRINITY_DN69469_c0_g1_i1 0 0 0
TRINITY_DN69407_c0_g1_i1 0 0 0
TRINITY_DN69471_c0_g1_i1 0 0 0
TRINITY_DN16778_c0_g1_i1 1 0 0
TRINITY_DN16777_c0_g1_i1 0 0 0
TRINITY_DN16777_c0_g1_i2 0 0 0
TRINITY_DN16798_c0_g1_i1 1 0 0
TRINITY_DN16766_c0_g1_i1 0 0 0
TRINITY_DN16723_c0_g1_i1 0 0 0
TRINITY_DN16769_c0_g3_i1 0 0 0
TRINITY_DN16797_c0_g1_i1 0 0 0
TRINITY_DN16760_c0_g2_i1 0 0 0
TRINITY_DN16714_c0_g1_i1 0 0 0
TRINITY_DN16714_c0_g1_i2 0 0 0
TRINITY_DN16732_c0_g1_i1 0 0 0
TRINITY_DN16719_c0_g1_i1 0 0 0
TRINITY_DN16793_c0_g1_i1 1 0 0
TRINITY_DN16705_c0_g1_i1 0 0 0
TRINITY_DN16792_c1_g1_i1 -1 0 0
TRINITY_DN16792_c1_g2_i1 0 0 0
TRINITY_DN16771_c0_g1_i1 0 0 0
TRINITY_DN16752_c0_g1_i1 0 0 0
TRINITY_DN16742_c0_g1_i1 0 0 0
TRINITY_DN16764_c0_g1_i1 0 0 0
TRINITY_DN16764_c0_g2_i1 0 0 0
TRINITY_DN16724_c0_g1_i1 0 0 0
TRINITY_DN16729_c0_g1_i1 1 0 0
TRINITY_DN16729_c0_g1_i3 0 0 0
TRINITY_DN16731_c0_g2_i1 0 0 0
TRINITY_DN16746_c0_g1_i1 0 0 0
TRINITY_DN16740_c0_g1_i1 0 0 0
TRINITY_DN16740_c0_g1_i2 0 0 0
TRINITY_DN16710_c0_g1_i1 0 0 0
TRINITY_DN16750_c0_g2_i1 0 0 0
TRINITY_DN16779_c0_g1_i1 0 0 0
TRINITY_DN16788_c0_g1_i1 0 0 0
TRINITY_DN16783_c0_g2_i1 0 0 0
TRINITY_DN16783_c0_g4_i1 0 0 0
TRINITY_DN16794_c0_g1_i2 0 -1 0
TRINITY_DN16730_c0_g1_i1 1 1 1
TRINITY_DN16730_c0_g2_i1 0 0 0
TRINITY_DN16730_c0_g2_i2 0 1 0
TRINITY_DN16736_c0_g1_i1 0 0 0
TRINITY_DN16768_c0_g1_i1 0 0 0
TRINITY_DN16768_c0_g2_i1 0 0 0
TRINITY_DN16768_c0_g3_i1 0 0 0
TRINITY_DN16768_c0_g4_i1 0 0 0
TRINITY_DN16768_c0_g5_i1 0 0 0
TRINITY_DN16768_c0_g7_i1 0 0 0
TRINITY_DN16799_c0_g1_i1 0 0 0
TRINITY_DN16799_c0_g2_i1 1 0 0
TRINITY_DN16755_c1_g1_i1 0 0 0
TRINITY_DN16755_c1_g2_i1 0 0 0
TRINITY_DN16739_c0_g1_i1 0 0 0
TRINITY_DN16739_c0_g2_i3 0 0 0
TRINITY_DN16739_c0_g2_i4 0 0 0
TRINITY_DN16708_c0_g1_i1 0 0 0
TRINITY_DN16708_c0_g2_i1 0 0 0
TRINITY_DN16738_c0_g1_i1 0 0 0
TRINITY_DN16721_c0_g1_i1 0 0 0
TRINITY_DN16721_c0_g2_i1 -1 0 0
TRINITY_DN16725_c0_g1_i1 0 1 0
TRINITY_DN16725_c0_g2_i1 0 1 0
TRINITY_DN16761_c0_g1_i1 1 0 0
TRINITY_DN16756_c0_g1_i1 0 0 0
TRINITY_DN16737_c0_g1_i1 0 0 0
TRINITY_DN16757_c0_g1_i1 0 0 0
TRINITY_DN16791_c0_g1_i1 0 0 0
TRINITY_DN16704_c0_g1_i1 0 0 0
TRINITY_DN16765_c0_g1_i1 0 0 0
TRINITY_DN16767_c0_g1_i1 0 0 0
TRINITY_DN16711_c0_g1_i1 1 0 0
TRINITY_DN16776_c0_g1_i1 0 0 0
TRINITY_DN16722_c0_g1_i1 0 0 0
TRINITY_DN16722_c0_g3_i1 0 0 0
TRINITY_DN16785_c0_g1_i1 0 0 0
TRINITY_DN16785_c0_g1_i2 0 0 0
TRINITY_DN16747_c0_g3_i1 0 0 0
TRINITY_DN16749_c0_g1_i1 0 0 0
TRINITY_DN16718_c0_g1_i1 0 0 0
TRINITY_DN16787_c0_g1_i1 1 0 0
TRINITY_DN16706_c0_g2_i1 0 0 0
TRINITY_DN16712_c0_g1_i1 0 0 0
TRINITY_DN16754_c0_g1_i1 0 0 0
TRINITY_DN16780_c0_g1_i1 0 0 0
TRINITY_DN16748_c0_g1_i1 0 0 0
TRINITY_DN16748_c0_g1_i2 0 0 0
TRINITY_DN16707_c0_g1_i1 -1 0 0
TRINITY_DN16703_c0_g1_i1 1 1 0
TRINITY_DN16700_c0_g1_i1 0 0 0
TRINITY_DN16781_c0_g1_i2 0 0 0
TRINITY_DN16781_c0_g1_i3 0 0 0
TRINITY_DN16743_c0_g2_i1 0 0 0
TRINITY_DN16720_c0_g1_i1 0 0 0
TRINITY_DN16751_c0_g1_i2 0 0 0
TRINITY_DN16795_c0_g1_i1 0 0 0
TRINITY_DN16733_c0_g1_i1 0 0 0
TRINITY_DN16770_c0_g1_i1 0 0 0
TRINITY_DN16784_c0_g1_i2 0 0 0
TRINITY_DN16727_c0_g1_i1 1 0 0
TRINITY_DN16717_c0_g1_i1 1 0 0
TRINITY_DN20672_c0_g1_i1 0 0 0
TRINITY_DN20672_c0_g3_i1 0 0 0
TRINITY_DN20676_c0_g2_i1 1 0 0
TRINITY_DN20613_c0_g1_i1 0 0 0
TRINITY_DN20613_c0_g1_i2 0 0 0
TRINITY_DN20624_c0_g3_i2 0 0 0
TRINITY_DN20659_c0_g1_i1 0 0 0
TRINITY_DN20601_c0_g1_i1 0 0 0
TRINITY_DN20601_c0_g1_i2 0 0 0
TRINITY_DN20680_c0_g1_i1 0 0 0
TRINITY_DN20654_c0_g1_i1 0 0 0
TRINITY_DN20683_c0_g1_i2 0 0 0
TRINITY_DN20630_c0_g1_i1 1 0 0
TRINITY_DN20660_c0_g1_i1 0 -1 0
TRINITY_DN20602_c0_g2_i1 0 0 0
TRINITY_DN20602_c0_g2_i5 0 0 0
TRINITY_DN20602_c0_g3_i1 0 0 0
TRINITY_DN20664_c0_g1_i1 0 0 0
TRINITY_DN20600_c0_g1_i1 0 0 0
TRINITY_DN20637_c0_g1_i1 0 0 0
TRINITY_DN20610_c0_g1_i1 1 0 0
TRINITY_DN20694_c0_g1_i1 0 0 0
TRINITY_DN20694_c0_g2_i1 0 0 0
TRINITY_DN20685_c0_g1_i1 0 0 0
TRINITY_DN20656_c0_g1_i1 0 0 0
TRINITY_DN20616_c0_g1_i1 0 0 0
TRINITY_DN20616_c0_g1_i2 0 0 0
TRINITY_DN20616_c0_g1_i3 0 0 0
TRINITY_DN20625_c0_g1_i1 0 0 0
TRINITY_DN20625_c0_g3_i1 0 0 0
TRINITY_DN20625_c0_g3_i2 0 0 0
TRINITY_DN20625_c0_g3_i3 0 0 0
TRINITY_DN20625_c0_g3_i5 0 0 0
TRINITY_DN20671_c0_g1_i1 1 0 0
TRINITY_DN20621_c0_g1_i1 0 0 0
TRINITY_DN20621_c0_g3_i1 0 0 0
TRINITY_DN20682_c0_g1_i1 1 0 0
TRINITY_DN20688_c0_g1_i1 0 0 0
TRINITY_DN20677_c0_g1_i1 0 0 0
TRINITY_DN20677_c0_g1_i2 0 0 0
TRINITY_DN20641_c0_g1_i1 0 0 0
TRINITY_DN20641_c0_g2_i1 0 0 0
TRINITY_DN20689_c0_g1_i1 1 0 0
TRINITY_DN20640_c0_g1_i1 0 0 0
TRINITY_DN20640_c0_g2_i1 0 0 0
TRINITY_DN20640_c1_g1_i1 0 0 0
TRINITY_DN20644_c0_g1_i1 0 0 0
TRINITY_DN20644_c0_g2_i1 0 0 0
TRINITY_DN20645_c0_g2_i1 1 0 0
TRINITY_DN20658_c0_g1_i2 0 0 0
TRINITY_DN20695_c0_g1_i1 0 0 0
TRINITY_DN20661_c0_g1_i1 0 0 0
TRINITY_DN20661_c0_g2_i1 0 0 0
TRINITY_DN20629_c0_g1_i2 0 0 0
TRINITY_DN20649_c0_g1_i1 0 0 0
TRINITY_DN20638_c0_g1_i1 1 1 0
TRINITY_DN20626_c0_g1_i1 0 0 0
TRINITY_DN20626_c1_g1_i1 0 -1 0
TRINITY_DN20631_c0_g1_i1 0 0 0
TRINITY_DN20617_c0_g2_i1 0 0 0
TRINITY_DN20657_c0_g1_i1 0 0 0
TRINITY_DN20674_c0_g1_i1 1 1 0
TRINITY_DN20615_c0_g1_i1 0 0 0
TRINITY_DN20611_c0_g1_i1 1 1 0
TRINITY_DN20623_c0_g1_i1 0 0 0
TRINITY_DN20623_c0_g1_i3 0 0 0
TRINITY_DN20609_c0_g1_i1 0 0 0
TRINITY_DN20698_c0_g1_i2 1 0 0
TRINITY_DN20675_c0_g1_i1 0 0 0
TRINITY_DN20675_c0_g1_i2 0 -1 0
TRINITY_DN20636_c0_g1_i1 0 0 0
TRINITY_DN20668_c0_g4_i1 0 0 0
TRINITY_DN20650_c0_g1_i1 0 0 0
TRINITY_DN20650_c0_g2_i1 0 0 0
TRINITY_DN20650_c0_g3_i1 0 0 0
TRINITY_DN20639_c0_g1_i1 0 0 0
TRINITY_DN20653_c0_g1_i1 0 0 0
TRINITY_DN20653_c0_g1_i2 0 0 0
TRINITY_DN20669_c0_g1_i1 0 1 0
TRINITY_DN20608_c1_g1_i1 0 0 0
TRINITY_DN20608_c1_g2_i1 0 0 0
TRINITY_DN20608_c1_g3_i1 0 0 0
TRINITY_DN20604_c0_g1_i1 1 1 0
